frame1:
"player,852,215,A"
"player,1044,534,A"
"player,911,544,A"
"player,727,655,A"
"player,1040,392,A"
"player,954,636,B"
"player,909,826,B"
"player,806,887,B"
"player,891,992,A"
"player,647,467,A"
"player,1064,620,B"
"player,475,722,B"
"player,770,796,A"
"player,783,631,B"
"player,1070,788,B"
"player,734,962,A"
"player,1048,921,A"
"player,982,956,B"
"ball,753,883"
frame2:
"player,1173,547,A"
"player,984,183,B"
"player,1154,57,A"
"player,1187,494,A"
"player,756,167,A"
"player,1172,118,B"
"player,1170,567,B"
"player,862,250,A"
"player,1197,410,B"
"player,1055,289,B"
"player,857,423,B"
"player,1132,781,B"
"player,1022,325,B"
"player,835,766,A"
"player,921,439,A"
"player,852,620,B"
"player,731,432,A"
"player,1042,499,B"
"player,967,796,A"
"player,1103,869,A"
"ball,909,175"
frame3:
"player,783,505,B"
"player,913,222,B"
"player,614,599,A"
"player,1084,620,B"
"player,630,614,B"
"player,739,339,A"
"player,646,914,A"
"player,784,544,B"
"player,1093,297,A"
"player,908,615,B"
"player,682,564,A"
"player,944,843,B"
"player,1060,651,A"
"player,661,844,B"
"player,1098,745,B"
"player,792,905,A"
"player,1108,422,B"
"player,737,791,A"
"player,610,716,A"
"player,788,1008,B"
"player,928,820,A"
"ball,804,246"
frame4:
"player,548,901,B"
"player,539,785,B"
"player,552,892,B"
"player,188,551,B"
"player,562,864,A"
"player,451,705,A"
"player,495,904,A"
"player,470,892,A"
"player,580,681,B"
"player,468,452,A"
"player,542,909,A"
"player,518,905,B"
"player,701,804,B"
"player,543,679,B"
"player,814,816,B"
"player,681,623,A"
"player,678,812,A"
"player,588,967,B"
"player,731,899,A"
"player,792,902,B"
"player,777,634,B"
"ball,458,630"
frame5:
"player,1224,373,B"
"player,1222,360,B"
"player,1235,366,A"
"player,698,625,A"
"player,814,422,A"
"player,1299,350,B"
"player,987,515,B"
"player,1235,465,B"
"player,698,457,A"
"player,902,548,A"
"player,1175,647,B"
"player,1032,470,B"
"player,1086,657,A"
"player,749,748,A"
"player,854,527,A"
"player,783,732,B"
"player,1195,1007,B"
"player,849,826,A"
"player,765,513,B"
"player,666,700,B"
"player,966,778,B"
"ball,853,568"
frame6:
"player,792,503,B"
"player,760,366,B"
"player,799,290,A"
"player,664,172,A"
"player,663,370,B"
"player,742,461,A"
"player,838,430,A"
"player,912,482,A"
"player,920,304,B"
"player,617,323,A"
"player,887,339,A"
"player,595,461,A"
"player,1006,614,B"
"player,1047,299,A"
"player,679,629,B"
"player,1058,393,B"
"player,614,664,A"
"player,641,849,B"
"ball,707,575"
frame7:
"player,1275,479,A"
"player,1362,589,B"
"player,1216,273,B"
"player,1138,389,A"
"player,1278,556,B"
"player,1252,554,B"
"player,1270,456,A"
"player,1349,602,A"
"player,1200,488,A"
"player,1389,544,B"
"player,1316,519,A"
"player,1510,515,B"
"player,1097,441,B"
"player,1147,604,B"
"player,998,439,B"
"player,1202,680,B"
"player,1124,524,A"
"player,993,655,A"
"player,1053,684,B"
"player,849,471,A"
"ball,1006,493"
frame8:
"player,276,754,B"
"player,225,558,A"
"player,278,507,B"
"player,270,772,B"
"player,255,658,A"
"player,351,709,B"
"player,838,526,B"
"player,277,744,A"
"player,471,696,B"
"player,689,640,B"
"player,397,656,B"
"player,657,482,B"
"player,436,544,A"
"player,738,669,B"
"player,413,806,B"
"player,636,546,B"
"ball,310,590"
frame9:
"player,209,643,B"
"player,241,722,B"
"player,273,600,B"
"player,792,598,B"
"player,345,693,B"
"player,209,832,B"
"player,310,809,B"
"player,470,626,B"
"player,776,614,B"
"player,171,848,B"
"player,153,916,B"
"player,292,858,B"
"player,538,627,B"
"player,454,867,B"
"player,765,747,B"
"ball,253,619"
